sent_rating,processed_text_NoStopwords,data
negativo,som realmente entanto a conectividade e resposta a o microfone captação deixa e a desejar importa a o roteador parede TV funcionar maneira adequada muitas tendo dificuldades conectar a rede e pedirá pra reiniciada e muitas simplesmente ignorar comando E conta d fica praticamente inutilizável pq acaba sendo 90 houvesse atualização aparentemente há,2021-06-09 00:00:00
negativo,O produto responde corretamente a comandos preciso média chamar 2-3x Entrei contato o chat Amazon e passou o prazo resposta.- O produto defeito.- a internet residência 8 aparelhos conectados simultaneamente queda qualidade frame comprar o procedimento melhor a Magalu resolver problemas pior a Frio/ Casas Bahia,2020-11-26 00:00:00
negativo,compra caixa som pensa normalmente leva-la o a Alexa show esqueci o nome e chamei Alzira recurso modernidade modelos caixas som pequenas bateria e a Alexa pena Pra mim o pior sido informado compra tinha recurso procurei lojas físicas informaram há modelo algum Caixa som Alexa a bateria a caixa e som perfeito,2021-01-05 00:00:00
negativo,A funcionalidade Comprei lâmpadas smart plugs e controle remoto inteligentes realmente capaz tarefas básicas falha comandos Geralmente peço responder a alguma frase programo previamente reconhece capaz responder a comando dublo ligue a luz sala e desligue a luz entrada obrigando a falar alexa e chato o Sento mudar o nome alexa padrões Amazon d problemas corrigidos a criação rotinas app coisas skills deveriam prontas app,2021-06-16 00:00:00
positivo,Excelente assistente som e limpo a Alexa dificuldade encontrar artistas e chato controle volume voz top reconhecimento voz encontrei problema algum Deveria a voz natural e integração YouTube Músic excelente,2020-12-10 00:00:00
negativo,gostei qualidade som responsividade comando e responde adequadamente e loja skills maravilhas A echo dot 4 poderia melhor reconhecimento voz estiver distante poucos centímetros suficiente barulho atrapalha reconhecer o Alexa e melhorar reconhecimento sotaque jeito falar Poderia algum botão recalibragem microfones pra reconhecer jeito falar atender a você)De resto ótimo dispositivo,2021-02-18 00:00:00
positivo,a evolução tecnológica e o capitalismo baseado livre mercado lucro e atendimento a o anseio pessoas criam inovações comodidades e necessidades damos conta começamos a utilizar produtos O Echo Dot d perguntam serve Echo Dot digo Despertador agenda eletrônica entretenimento casa inteligente caso lampada RGB o suficiente reprodutor áudio multimídia transmissor áudio bluetooth a qualidade som tamanho caixinha a qualidade Deixo madeira cama e raramente deixo volume alto o som abafado distorcido caixas baixa qualidade e surpreendeu a qualidade graves tamanho desaponta Único tirar estrela A necessidade o comando ativação Alexa Brasil sendo países habilitado o modo conversa continuum podemos comandos sucessivos Espero opção seja habilitada ia agregar e fluidez o,2021-08-01 00:00:00
positivo,Achei excelente!Escuta distância razoável e falar a Alexa realmente divertido treinamento entendimento voz eficiente Muita funciona via aplicativo vc precisa instalar aplicativo identifique lâmpada inteligente e execute comandos,2021-04-08 00:00:00
negativo,Alexa 4 funciona direito fica travando a o tocar músicas a Internet pegando ótima celular e tvs juntos alexa demora responder estando cômoda escuta e realiza o peço mostrar amigos e passei vergonha alexa tocou músicas respondeu perguntas,2021-11-20 00:00:00
positivo,O microfone ECHO DOT ótimo o percebi momentos aleatórios escuta escutar acho causa perfil voz o usuário grava acha a voz registrada a funciona recomendo a compra totalmente,2020-11-14 00:00:00
positivo,Comprei avaliar ficaria conhecia Alexa Considerando o preço comprei decidi ficar sido válida a experiência preço atual compraria Realmente surda O som diálogos d razoável usado escutar músicas inclusas Prime d conecto amplificador Bluetooh Conecta comando voz Melhora comparável a escutar LPs CDs Audio streaming praticidade pedir a musica viva voz e começar instantes acaba valendo a pena ligar fio amplificador melhora O BT d e amplificador bons dias escutei Echo modelo dot O som melhor justifica o investimento acho melhor a dot o amplificador curiosidade o modelo studio descobrir reproduzir MP3 fizesse preservando a qualidade gerados a CDs originais alta taxa bits Funciona automação residencial,2021-05-19 00:00:00
